,id,title,is_paid,price,currency,price_string,currency_symbol,url
3797,2707960.0,learn code making 2d platformer unity ,1.0,139.99,EUR,€139.99,€,https://www.udemy.com/course/unityplatformer/
3798,627016.0,communication skills social intelligence masterclass,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/communication-skills-become-a-superstar-communicator/
3799,647660.0,recursion backtracking dynamic programming java,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/algorithmic-problems-in-java/
3800,47712.0,grant writing keys successful proposal,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/grantwritingonline/
3801,358948.0,art fundamentals foundations painting drawing course,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/art-fundamentals-drawing-and-painting-essentials/
3802,366158.0,win starting social media management business,1.0,19.99,EUR,€19.99,€,https://www.udemy.com/course/become-a-freelance-social-media-manager/
3803,137250.0,train trainer pro beginners allowed,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/world-class-train-the-trainer-program/
3804,703232.0,art api documentation,1.0,24.99,EUR,€24.99,€,https://www.udemy.com/course/the-art-of-api-documentation/
3805,278948.0,become professional graphic designer,1.0,34.99,EUR,€34.99,€,https://www.udemy.com/course/become-a-professional-graphic-designer-udemy/
3806,285492.0,software testingqa testing manual testingsdlctest plan,1.0,34.99,EUR,€34.99,€,https://www.udemy.com/course/software-testing-qa-fundamentals-and-manual-testing-concept/
3807,344418.0,use leadership styles effectively matched leadership,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/matched-leadership/
3808,363854.0,game physics  introducing gravitation  rotation unity,1.0,19.99,EUR,€19.99,€,https://www.udemy.com/course/gamephysics/
3809,748862.0,behavioral economics neuromarketing,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/behavioral-economics-and-neuromarketing/
3810,745306.0,build realtime apps  react js golang  rethinkdb,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/realtime-apps-with-reactjs-golang-rethinkdb/
3811,735990.0,mind map beginners make learning fun fast,1.0,44.99,EUR,€44.99,€,https://www.udemy.com/course/mindmapforbeginners/
3812,2445352.0,tableau  tableau tableau certification,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/tableau-certified-associate-questions/
3813,2204132.0,mindfulness life coach certification practitioner accredited,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/mindfulness-life-coach-practitioner-training-certification/
3814,1578230.0,dart  intermediate course,1.0,24.99,EUR,€24.99,€,https://www.udemy.com/course/dart-intermediate-course/
3815,1520666.0,atlassian bamboo beginner advanced,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/bamboo-continuous-integration-for-devops-developers/
3816,2102512.0,embedded systems baremetal  programming  ground stm32,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/embedded-systems-bare-metal-programming/
3817,2101568.0,symfony 4  5 web development guide beginner advanced,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/symfony-4-web-development-from-beginner-to-advanced/
3818,1013008.0,online andor digital marketing,1.0,19.99,EUR,€19.99,€,https://www.udemy.com/course/what-is-online-and-digital-marketing/
3819,1283470.0,modern concurrency depth  c1720,1.0,69.99,EUR,€69.99,€,https://www.udemy.com/course/modern-cpp-concurrency-in-depth/
3820,1119698.0,skyrocket creativity get better ideas 7 easy ways,1.0,34.99,EUR,€34.99,€,https://www.udemy.com/course/skyrocket-creativity-get-better-ideas/
3821,1149658.0,stichmethod blues master class part,1.0,44.99,EUR,€44.99,€,https://www.udemy.com/course/stichmethod-blues-master-class-part-1/
3822,1580124.0,internationally accredited diploma weight loss,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/internationally-accredited-diploma-in-weight-loss/
3823,1608616.0,kubernetes cloud  cncf cka certification,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/kubernetes-cka-on-cloud/
3824,1639320.0,web analytics  digital marketing analytics  zero hero,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/digital-marketing-analytics-fundamentals-and-process/
3825,1461592.0,become aws certified  solutions architect associate,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/awscsarch/
3826,1465958.0,find profitable niche hour,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/how-to-find-a-profitable-niche-in-under-1-hour/
3827,1478408.0,beginner complete basics sap process orchestration,1.0,94.99,EUR,€94.99,€,https://www.udemy.com/course/beginner-complete-basics-of-sap-process-orchestration/
3828,1578230.0,dart  intermediate course,1.0,24.99,EUR,€24.99,€,https://www.udemy.com/course/dart-intermediate-course/
3829,1478408.0,beginner complete basics sap process orchestration,1.0,94.99,EUR,€94.99,€,https://www.udemy.com/course/beginner-complete-basics-of-sap-process-orchestration/
3830,2445352.0,tableau  tableau tableau certification,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/tableau-certified-associate-questions/
3831,3485044.0,spring security zero master along jwtoauth2,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/spring-security-zero-to-master/
3832,3323966.0,fundamentals network security,1.0,19.99,EUR,€19.99,€,https://www.udemy.com/course/fundamentals-of-network-security-b/
3833,989224.0,python absolute beginners learn python week,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/python-programming-for-absolute-beginners/
3834,548018.0,product service management,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/4-strategies-for-product-and-service-management/
3835,517842.0,microsoft excel 2013  excel master ,1.0,19.99,EUR,€19.99,€,https://www.udemy.com/course/ultimate-guide-microsoft-excel-2013/
3836,397930.0,learn wifi password penetration testing wepwpawpa2,1.0,49.99,EUR,€49.99,€,https://www.udemy.com/course/learn-cracking-wi-fi-passwordskeys-wepwpawpa2/
