id,title,is_paid,price,currency,price_string,currency_symbol,url
1708340.0,Flutter & Dart - The Complete Guide [2022 Edition],1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/learn-flutter-dart-to-build-ios-android-apps/
613808.0,Leadership: Practical Leadership Skills,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/practical-leadership/
822444.0,Python and Django Full Stack Web Developer Bootcamp,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/python-and-django-full-stack-web-developer-bootcamp/
1065056.0,Design Thinking in 3 Steps,1.0,189.99,EUR,€189.99,€,https://www.udemy.com/course/designit-design-thinking/
1288044.0,The Complete Foundation Stock Trading Course,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/foundation-course/
238934.0,Pianoforall - Incredible New Way To Learn Piano & Keyboard,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/pianoforall-incredible-new-way-to-learn-piano-keyboard/
959700.0,The Complete React Native + Hooks Course,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/the-complete-react-native-and-redux-course/
614772.0,The Complete Cyber Security Course : Hackers Exposed!,1.0,99.99,EUR,€99.99,€,https://www.udemy.com/course/the-complete-internet-security-privacy-course-volume-1/
1151632.0,Deep Learning A-Z™: Hands-On Artificial Neural Networks,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/deeplearning/
1704776.0,Microsoft Azure - Beginner's Guide + AZ-900 -  2021,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/microsoft-azure-beginners-guide/
1602900.0,Kubernetes for the Absolute Beginners - Hands-on,1.0,149.99,EUR,€149.99,€,https://www.udemy.com/course/learn-kubernetes/
673654.0,Become a Product Manager | Learn the Skills & Get the Job,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/become-a-product-manager-learn-the-skills-get-a-job/
1203374.0,Cisco CCNA 200-301 – The Complete Guide to Getting Certified,1.0,19.99,EUR,€19.99,€,https://www.udemy.com/course/ccna-complete/
2259120.0,The Complete 2021 Flutter Development Bootcamp with Dart,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/flutter-bootcamp-with-dart/
321410.0,Beginner to Pro in Excel: Financial Modeling and Valuation,1.0,139.99,EUR,€139.99,€,https://www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/
946654.0,Write Better Emails: Tactics for Smarter Team Communication,1.0,39.99,EUR,€39.99,€,https://www.udemy.com/course/write-better-emails/
1452908.0,User Experience Design Essentials - Adobe XD UI UX Design,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/ui-ux-web-design-using-adobe-xd/
903378.0,The Python Bible™ | Everything You Need to Program in Python,1.0,89.99,EUR,€89.99,€,https://www.udemy.com/course/the-python-bible/
